model,fps,iterations,image_width,image_height,dnn_width,dnn_height,user_width,user_height,processor,opencv_version,python_version,batch_size
9n235-l6,41.24,100,640,480,1280,1280,1280,1280,gpu,4.7.0,3.8.10,4
9n235-m6,67.54,100,640,480,1280,1280,1280,1280,gpu,4.7.0,3.8.10,4
9n235-s6,124.34,100,640,480,1280,1280,1280,1280,gpu,4.7.0,3.8.10,4
9n235-n6,187.1,100,640,480,1280,1280,1280,1280,gpu,4.7.0,3.8.10,4
